"codigo","municipio","quantidade","ano"
150010,Abaetetuba,34,2015
150013,Abel Figueiredo,14,2015
150020,Acará,1,2015
150030,Afuá,1,2015
150034,Água Azul do Norte,22,2015
150040,Alenquer,220,2015
150050,Almeirim,0,2015
150060,Altamira,284,2015
150070,Anajás,0,2015
150080,Ananindeua,402,2015
150085,Anapu,15,2015
150090,Augusto Corrêa,38,2015
150095,Aurora do Pará,2,2015
150100,Aveiro,0,2015
150110,Bagre,61,2015
150120,Baião,1,2015
150125,Bannach,14,2015
150130,Barcarena,14,2015
150140,Belém,1471,2015
150145,Belterra,12,2015
150150,Benevides,57,2015
150157,Bom Jesus do Tocantins,1,2015
150160,Bonito,8,2015
150170,Bragança,66,2015
150172,Brasil Novo,220,2015
150175,Brejo Grande do Araguaia,23,2015
150178,Breu Branco,25,2015
150180,Breves,210,2015
150195,Cachoeira do Piriá,4,2015
150210,Cametá,37,2015
150215,Canaã dos Carajás,183,2015
150220,Capanema,90,2015
150230,Capitão Poço,24,2015
150240,Castanhal,154,2015
150260,Colares,20,2015
150270,Conceição do Araguaia,15,2015
150275,Concórdia do Pará,0,2015
150276,Cumaru do Norte,27,2015
150277,Curionópolis,11,2015
150285,Curuá,1,2015
150290,Curuçá,14,2015
150293,Dom Eliseu,67,2015
150295,Eldorado do Carajás,0,2015
150304,Floresta do Araguaia,24,2015
150307,Garrafão do Norte,0,2015
150309,Goianésia do Pará,26,2015
150310,Gurupá,7,2015
150320,Igarapé-Açu,4,2015
150330,Igarapé-Miri,8,2015
150340,Inhangapi,75,2015
150345,Ipixuna do Pará,3,2015
150350,Irituia,36,2015
150360,Itaituba,63,2015
150370,Itupiranga,38,2015
150375,Jacareacanga,0,2015
150380,Jacundá,16,2015
150390,Juruti,0,2015
150400,Limoeiro do Ajuru,5,2015
150405,Mãe do Rio,8,2015
150410,Magalhães Barata,6,2015
150420,Marabá,133,2015
150430,Maracanã,2,2015
150440,Marapanim,1,2015
150442,Marituba,326,2015
150445,Medicilândia,6,2015
150460,Mocajuba,13,2015
150470,Moju,4,2015
150475,Mojuí dos Campos,166,2015
150480,Monte Alegre,232,2015
150490,Muaná,6,2015
150495,Nova Esperança do Piriá,0,2015
150497,Nova Ipixuna,61,2015
150500,Nova Timboteua,25,2015
150503,Novo Progresso,122,2015
150506,Novo Repartimento,9,2015
150510,Óbidos,11,2015
150520,Oeiras do Pará,0,2015
150530,Oriximiná,45,2015
150540,Ourém,2,2015
150543,Ourilândia do Norte,63,2015
150548,Pacajá,166,2015
150549,Palestina do Pará,0,2015
150550,Paragominas,3,2015
150553,Parauapebas,447,2015
150555,Pau D'Arco,2,2015
150560,Peixe-Boi,2,2015
150563,Piçarra,0,2015
150565,Placas,19,2015
150570,Ponta de Pedras,125,2015
150580,Portel,69,2015
150590,Porto de Moz,24,2015
150600,Prainha,72,2015
150610,Primavera,41,2015
150611,Quatipuru,2,2015
150613,Redenção,29,2015
150616,Rio Maria,25,2015
150618,Rondon do Pará,67,2015
150619,Rurópolis,27,2015
150620,Salinópolis,20,2015
150630,Salvaterra,11,2015
150635,Santa Bárbara do Pará,23,2015
150650,Santa Izabel do Pará,125,2015
150655,Santa Luzia do Pará,13,2015
150658,Santa Maria das Barreiras,54,2015
150660,Santa Maria do Pará,0,2015
150670,Santana do Araguaia,19,2015
150680,Santarém,49,2015
150690,Santarém Novo,12,2015
150700,Santo Antônio do Tauá,12,2015
150710,São Caetano de Odivelas,12,2015
150715,São Domingos do Araguaia,90,2015
150720,São Domingos do Capim,6,2015
150730,São Félix do Xingu,90,2015
150740,São Francisco do Pará,1,2015
150745,São Geraldo do Araguaia,28,2015
150746,São João da Ponta,12,2015
150747,São João de Pirabas,4,2015
150750,São João do Araguaia,15,2015
150760,São Miguel do Guamá,3,2015
150770,São Sebastião da Boa Vista,7,2015
150775,Sapucaia,0,2015
150780,Senador José Porfírio,205,2015
150790,Soure,30,2015
150795,Tailândia,37,2015
150796,Terra Alta,12,2015
150797,Terra Santa,1,2015
150800,Tomé-Açu,100,2015
150803,Tracuateua,23,2015
150805,Trairão,3,2015
150808,Tucumã,63,2015
150810,Tucuruí,35,2015
150812,Ulianópolis,3,2015
150815,Uruará,34,2015
150820,Vigia,0,2015
150830,Viseu,30,2015
150835,Vitória do Xingu,51,2015
150840,Xinguara,72,2015
